FileSize,GlobusSpeedEstimate_Mean,GlobusSpeedEstimate_SE
1MB,0.12600000000000003,0.011661903789690602
10MB,1.19,0.09560334722173698
100MB,10.224,0.2902860658040615
1GB,47.394,3.470201146907769
10GB,71.866,6.443505722818906
100GB,81.074,1.3183876516412014
