FileSize,GlobusSpeedEstimate
1MB,0.136
1MB,0.136
1MB,0.134
1MB,0.139
1MB,0.133
10MB,1.27
10MB,1.32
10MB,1.29
10MB,1.27
10MB,1.28
100MB,9.74
100MB,10.60
100MB,8.62
100MB,9.87
100MB,5.15
1GB,47.79
1GB,50.30
1GB,50.21
1GB,54.33
1GB,54.61
10GB,78.69
10GB,76.80
10GB,65.87
10GB,64.37
10GB,65.70
100GB,71.34
100GB,66.60
100GB,74.92
100GB,73.34
100GB,71.42
