FileSize,GlobusSpeedEstimate
1MB,0.13
1MB,0.14
1MB,0.14
1MB,0.08
1MB,0.14
10MB,1.30
10MB,1.32
10MB,0.82
10MB,1.32
10MB,1.19
100MB,9.46
100MB,10.58
100MB,10.48
100MB,10.97
100MB,9.63
1GB,43.44
1GB,52.04
1GB,54.08
1GB,35.59
1GB,51.82
10GB,79.11
10GB,46.11
10GB,78.11
10GB,77.62
10GB,78.38
100GB,79.09
100GB,81.85
100GB,81.58
100GB,77.57
100GB,85.28
