FileSize,GlobusSpeedEstimate
1MB,0.151
1MB,0.148
1MB,0.135
1MB,0.148
1MB,0.142
10MB,1.28
10MB,1.38
10MB,1.54
10MB,1.46
10MB,1.51
100MB,5.40
100MB,9.52
100MB,9.11
100MB,7.80
100MB,6.01
1GB,22.52
1GB,19.60
1GB,20.51
1GB,24.03
1GB,16.76
10GB,23.47
10GB,25.63
10GB,22.72
10GB,26.37
10GB,31.55
100GB,32.81
100GB,29.94
100GB,32.34
100GB,30.47
100GB,24.10
