FileSize,GlobusSpeedEstimate
1M,0.13465
1M,0.145804
1M,0.175799
1M,0.161308
1M,0.187357
10M,1.313039
10M,1.79308
10M,1.423722
10M,1.820757
10M,1.860994
100M,6.471056
100M,11.566392
100M,8.399833
100M,9.751419
100M,14.507691
1G,34.822691
1G,22.92444
1G,34.434984
1G,27.81658
1G,25.364817
10G,43.405275
10G,42.252818
10G,38.52172
10G,51.965315
10G,38.731191
100G,46.558741
100G,45.536341
100G,20.8673
100G,40.534823
100G,31.38082
