FileSize,GlobusSpeedEstimate
1M,0.163254
1M,0.173127
1M,0.180555
1M,0.180016
1M,0.162564
10M,1.385194
10M,1.496824
10M,1.331617
10M,1.403545
10M,1.538964
100M,6.470464
100M,5.835571
100M,6.446646
100M,5.466502
100M,5.715272
1G,6.854458
1G,5.251906
1G,6.791319
1G,7.307325
1G,6.230289
10G,8.585132
10G,9.464615
10G,8.652679
10G,6.16487
10G,7.413087
100G,5.524811
100G,2.498637
100G,9.723658
100G,3.160049
100G,8.096315
