FileSize,GlobusSpeedEstimate
1M,0.177949
1M,0.18355
1M,0.194185
1M,0.188706
1M,0.170243
10M,1.131781
10M,1.861697
10M,1.68333
10M,0.781789
10M,1.806916
100M,15.272272
100M,14.869786
100M,11.88464
100M,15.144232
100M,14.07982
1G,9.786172
1G,8.971523
1G,9.742227
1G,6.986246
1G,7.875359
10G,10.007096
10G,10.193375
10G,10.319698
10G,10.653479
10G,11.60779
100G,2.411223
100G,11.104943
100G,11.912577
100G,9.819615
100G,11.745289
