FileSize,GlobusSpeedEstimate
1M,0.159233
1M,0.162432
1M,0.13478
1M,0.175471
1M,0.15689
10M,0.888834
10M,0.977275
10M,1.115613
10M,1.28825
10M,0.928859
100M,1.143006
100M,1.112226
100M,1.268748
100M,1.301515
100M,1.059222
1G,1.127374
1G,1.741203
1G,1.807873
1G,13.141357
1G,15.399314
10G,15.768843
10G,15.400831
10G,14.743297
10G,14.356732
10G,12.703997
100G,11.076479
100G,12.331427
100G,11.140379
100G,11.503594
100G,11.436902
