FileSize,GlobusSpeedEstimate
1M,0.182614
1M,0.182872
1M,0.180673
1M,0.182715
1M,0.188428
10M,1.707253
10M,1.662874
10M,1.636951
10M,1.624096
10M,1.68139
100M,10.425841
100M,12.396007
100M,12.555666
100M,12.067982
100M,7.406276
1G,31.969138
1G,42.704024
1G,40.452367
1G,35.120637
1G,14.627608
10G,52.777947
10G,55.498498
10G,52.590322
10G,53.931428
10G,58.905427
100G,51.582098
100G,53.179262
100G,54.24355
100G,55.584208
100G,49.982206
