FileSize,GlobusSpeedEstimate
1M,0.173498
1M,0.184118
1M,0.183296
1M,0.17901
1M,0.185504
10M,1.472679
10M,1.598496
10M,1.630441
10M,1.45454
10M,1.476155
100M,5.605007
100M,6.390528
100M,5.21216
100M,6.126158
100M,5.385256
1G,12.418474
1G,14.715228
1G,11.715471
1G,12.948068
1G,11.243488
10G,12.496425
10G,12.383517
10G,14.283095
10G,18.932851
10G,12.638192
100G,14.19765
100G,19.739306
100G,2.741377
100G,12.858136
100G,16.933571
