FileSize,GlobusSpeedEstimate
1M,0.196516
1M,0.192345
1M,0.186758
1M,0.177705
1M,0.185188
10M,1.596979
10M,1.657542
10M,1.744369
10M,1.685318
10M,1.657727
100M,12.299407
100M,12.773796
100M,11.976644
100M,12.321518
100M,11.997497
1G,1.148108
1G,1.840697
1G,1.182543
1G,1.12633
1G,1.111297
10G,1.138608
10G,1.160409
10G,1.12757
10G,3.908824
10G,12.124037
100G,13.297677
100G,13.555491
100G,11.458124
100G,2.219267
100G,12.011782
