FileSize,ProfiledSpeed
1M,0.5890876404494382
1M,0.6421163502755665
1M,0.6267638971906754
1M,0.5880964666292765
1M,0.6598967904342353
10M,4.465826235093697
10M,3.5775366769020813
10M,4.445002119542179
10M,4.197662129703763
10M,4.264237494916633
100M,14.387705817782656
100M,14.009031396125584
100M,11.447336244541486
100M,14.21797966101695
100M,13.945684266524804
1G,19.470186117356928
1G,19.7226741118989
1G,18.494932892379772
1G,19.99109724265048
1G,20.492429413897742
10G,21.23866255241712
10G,19.746939757352173
10G,20.821782106026582
10G,17.875467995385225
10G,20.02349361574367
100G,19.359117271619276
100G,19.371991324168455
100G,19.5856979812213
100G,19.38786468422322
100G,18.896127333502513
