FileSize,EstimatedSpeed
1M,0.25236486161251503
1M,0.27572337628188276
1M,0.2560625152625153
1M,0.26149027431421445
1M,0.2765961487734107
10M,2.5025680190930784
10M,2.4505164758121056
10M,2.5500389105058363
10M,2.425574832292389
10M,2.509755864049785
100M,13.041990049751245
100M,13.00801389405781
100M,14.519191359734144
100M,12.991896914880435
100M,14.21797966101695
1G,70.79927627588026
1G,103.27419678753486
1G,100.85870975014089
1G,100.23728752800598
1G,99.65121336426914
10G,123.96146619102045
10G,258.04278291797846
10G,245.18572009225218
10G,271.9710800405269
10G,247.90862209087553
100G,140.06071069856748
100G,284.25495487625057
100G,261.9815407437771
100G,315.8723804088501
100G,95.9114244216687
