FileSize,ProfileSpeed_Mean,ProfileSpeed_SE,GdriveEstimate_Mean,GdriveEstimate_SE
1M,1.1973277904080593,0.08131392781953856,1.0,0.0
10M,11.783902625497655,0.4129655774138289,10.5,0.0
100M,52.5146666709599,0.8495104196241029,104.9,0.0
1G,193.61995791141453,6.471440303595114,228.11999999999998,7.711121837968843
10G,231.86375139016454,15.73597032100989,236.01999999999998,16.440723828347707
100G,236.88680543921495,8.567380275386135,237.5,8.567321635143621
