FileSize,Speed_Mean,Speed_SE
1M,,
10M,17.08365910473642,1.6615951100694328
100M,39.3757406308002,5.105563368381573
1G,77.17429330499127,1.6210627579065433
10G,65.77610313830635,5.913200500455428
100G,52.847930326149346,3.3302261431716147
