FileSize,ProfiledSpeed,cyberduckEst
1M,0.39434975554719826,1.3546666666666667
1M,0.3730259694059054,1.0843
1M,0.39884975275770257,1.3552333333333333
1M,0.35269963000336363,1.1518333333333333
1M,0.36120427144333445,1.1520333333333335
10M,2.6688114023924667,3.65344
10M,2.7004275045068247,3.4501444444444447
10M,2.4216535796766743,3.1265300000000003
10M,2.596127754394652,3.39345
10M,2.7011231324059763,3.71206
100M,14.308182155149588,12.515160714285713
100M,12.51582716638816,11.952435714285714
100M,13.990340226817878,12.714517857142857
100M,13.923463019519321,12.961014285714288
100M,14.221836430218364,13.487003448275864
1G,44.7933679863168,46.33337724867726
1G,44.309075393059054,46.10646578947369
1G,44.949004688546545,46.95192116402114
1G,44.27071097550919,45.245473684210495
1G,44.57579807372966,46.048988297872334
10G,53.10952511438111,58.072733428246
10G,51.717930978012184,57.05325600223333
10G,51.020989398957475,56.59002828838727
10G,50.0035776522472,56.7816739549839
10G,52.22022507757104,56.874203140774064
100G,51.00644735904537,57.69253466982762
100G,50.46170516040952,56.90698366378662
100G,52.151262592288404,57.86991613206614
100G,48.69502347809603,51.35854077350437
100G,51.134385951711636,57.87197582095666
