FileSize,TimeTaken
1M,
1M,
1M,
1M,
1M,
10M,2.50873
10M,1.916436
10M,1.659576
10M,1.881885
10M,1.866934
100M,3.778471
100M,4.152496
100M,3.431032
100M,3.284673
100M,3.977897
1G,29.256085
1G,27.957732
1G,24.646177
1G,22.477574
1G,19.533885
10G,202.631776
10G,226.500521
10G,199.102235
10G,191.128782
10G,198.551261
100G,2323.812654
100G,2088.424192
100G,4802.342827
100G,2364.617657
100G,2414.510294
