FileSize,TimeTaken
1M,
1M,
1M,
1M,
1M,
10M,0.478546
10M,0.566899
10M,0.628754
10M,0.898548
10M,0.633683
100M,3.066142
100M,2.633516
100M,2.457323
100M,4.274668
100M,1.886521
1G,13.176554
1G,14.317612
1G,14.493025
1G,14.730625
1G,14.668924
10G,137.257901
10G,135.328871
10G,183.078905
10G,223.510502
10G,163.256056
100G,1865.263682
100G,2027.435804
100G,1788.595067
100G,2028.703121
100G,2638.821356
